"","Movie_name","Years","Genre","Ratings","Director","Users_involved","Runtime"
"192","Avengers: Endgame",2019,"Action",8.4,"Anthony Russo",769200,"
                        3h 1min
                    "
"193","Once Upon a Time In Hollywood",2019,"Comedy",7.6,"Quentin Tarantino",518374,"
                        2h 41min
                    "
"194","The New Mutants",2020,"Action",5.5,"Josh Boone",12300,"
                        1h 34min
                    "
"195","Parasite",2019,"Comedy",8.6,"Bong Joon Ho",489194,"
                        2h 12min
                    "
"196","The Outpost",2020,"Action",6.7,"Rod Lurie",12689,"
                        2h 3min
                    "
"198","Greenland",2020,"Action",6.5,"Ric Roman Waugh",3969,"
                        1h 59min
                    "
"199","Minari",2020,"Drama",7.7,"Lee Isaac Chung",245,"
                        1h 55min
                    "
"200","Hamilton",2020,"Biography",8.7,"Thomas Kail",43022,"
                        2h 40min
                    "
"201","Gemini Man",2019,"Action",5.7,"Ang Lee",79168,"
                        1h 57min
                    "
"202","Ford v. Ferrari",2019,"Action",8.1,"James Mangold",263611,"
                        2h 32min
                    "
"203","Jojo Rabbit",2019,"Comedy",7.9,"Taika Waititi",264884,"
                        1h 48min
                    "
"204","Black Panther",2018,"Action",7.3,"Ryan Coogler",609799,"
                        2h 14min
                    "
"205","The Silencing",2020,"Action",6.1,"Robin Pront",6949,"
                        1h 33min
                    "
"206","Just Mercy",2019,"Biography",7.6,"Destin Daniel Cretton",40115,"
                        2h 17min
                    "
"207","The Old Guard",2020,"Action",6.6,"Gina Prince-Bythewood",108168,"
                        2h 5min
                    "
"208","Possessor",2020,"Sci-Fi",6.4,"Brandon Cronenberg",2452,"
                        1h 43min
                    "
"209","After",2019,"Drama",5.3,"Jenny Gage",32836,"
                        1h 45min
                    "
"210","Stephen King's Doctor Sleep",2019,"Drama",7.4,"Mike Flanagan",127844,"
                        2h 32min
                    "
"211","21 Bridges",2019,"Action",6.6,"Brian Kirk",42072,"
                        1h 39min
                    "
"212","The Addams Family",2019,"Animation",5.8,"Greg Tiernan",24890,"
                        1h 26min
                    "
"213","Midsommar: The Director's Cut",2019,"Drama",7.1,"Ari Aster",181949,"
                        2h 28min
                    "
"214","Unhinged",2020,"Action",6.2,"Derrick Borte",7330,"
                        1h 30min
                    "
"215","Blade Runner 2049",2017,"Action",8,"Denis Villeneuve",445955,"
                        2h 44min
                    "
"216","Terminator: Dark Fate",2019,"Action",6.2,"Tim Miller",137395,"
                        2h 8min
                    "
"217","1917",2019,"Drama",8.3,"Sam Mendes",374846,"
                        1h 59min
                    "
"218","On The Basis Of Sex",2018,"Biography",7.1,"Mimi Leder",24276,"
                        2h
                    "
"219","Kajillionaire",2020,"Crime",6.6,"Miranda July",740,"
                        1h 44min
                    "
"220","Thor: Ragnarok",2017,"Action",7.9,"Taika Waititi",569546,"
                        2h 10min
                    "
"221","Motherless Brooklyn",2019,"Crime",6.8,"Edward Norton",36489,"
                        2h 24min
                    "
