"","Movie_name","Years","Genre","Ratings","Director","Users_involved","Runtime"
"286","Fifty Shades of Grey",2015,"Drama",4.1,"Sam Taylor-Johnson",294223,"
                        2h 5min
                    "
"287","Ready Player One",2018,"Action",7.5,"Steven Spielberg",356483,"
                        2h 20min
                    "
"289","Alita: Battle Angel",2019,"Action",7.3,"Robert Rodriguez",219927,"
                        2h 2min
                    "
"290","Jurassic World",2015,"Action",7,"Colin Trevorrow",571587,"
                        2h 4min
                    "
"291","The Lodge",2019,"Drama",6,"Severin Fiala",26749,"
                        1h 48min
                    "
"292","Justice League",2017,"Action",6.3,"Zack Snyder",374013,"
                        2h
                    "
"293","Captain Marvel",2019,"Action",6.9,"Anna Boden",426420,"
                        2h 3min
                    "
"294","The Avengers: Age of Ultron",2015,"Action",7.3,"Joss Whedon",726528,"
                        2h 21min
                    "
"296","The VVitch: A New-England Folktale",2015,"Drama",6.9,"Robert Eggers",191221,"
                        1h 32min
                    "
"297","The Martian",2015,"Adventure",8,"Ridley Scott",744799,"
                        2h 24min
                    "
"298","Frozen 2",2019,"Animation",6.9,"Chris Buck",126209,"
                        1h 43min
                    "
"299","Hustlers",2019,"Comedy",6.3,"Lorene Scafaria",78649,"
                        1h 50min
                    "
"300","Aladdin",2019,"Adventure",7,"Guy Ritchie",218376,"
                        2h 8min
                    "
