"","Index","Movie_names","Year","Advisory_rating","runtime","genre","Ratings","Description","Director","Cast","User_votes"
"5610",11934,"Welcome to the Men's Group",2016,"Unrated",130,"Comedy",6.4,"A men's support group descends into chaos when longstanding conflicts threaten the trust between the men.","Joseph Culp","Phil Abrams",42
"5611",11938,"Me, Myself & Her",2015,"Not Rated",102,"Comedy",6,"Marina and Federica have been together for five years now, they share the same apartment, bed, face cream, they laugh, they fight, but even so sometimes they are not sure if they're a couple or not.","Maria Sole Tognazzi","Margherita Buy",740
"5612",11939,"Pitbull. Ostanti pies",2018,"Not Rated",124,"Action",6.3,"A policeman gets killed and the short-staffed police chief sends for a few experienced officers to support him in his fight with organized crime. Meanwhile, a conflict between local gangster groups escalates.","Wladyslaw Pasikowski","Marcin Dorocinski",1345
"5613",11941,"The Marshes",2018,"Not Rated",85,"Horror",4.1,"Deep in a remote marshland, three young biologists conduct research but when they encounter evil, science ends and survival begins.","Roger Scott","Dafna Kronental",260
"5614",11946,"Everything That Glitters",2018,"Not Rated",81,"Drama",5.3,"Victoria Robinson seems to have the perfect life. But her unfaithful husband and a sexy younger man with dark motives will lead her into a dangerous game of cat and mouse, where she'll discover that the perfect life comes with a high cost.","Dan Garcia","Camille Bright",22
"5615",11959,"Long Story Short",2015,"Not Rated",100,"Comedy",6.5,"A group of Danes over 30, in different relationships, meet each other at 8 different kinds of parties.","May el-Toukhy","Mille Lehfeldt",535
"5616",11963,"Pentagram",2019,"Not Rated",80,"Horror",3,"A group of teenagers must somehow survive the night when they find themselves trapped within a pentagram. To stay inside the candlelit confines means safety; to escape means certain death at the hands of a mysterious entity.","Steve Lawson","Chloe Farnworth",157
"5617",11968,"Moka",2016,"Not Rated",89,"Drama",6.2,"A grieving woman pursues a couple who she suspects of killing her son in a hit-and-run.","Frédéric Mermoud","Emmanuelle Devos",942
"5618",11970,"Fireman Sam: Set for Action!",2018,"Not Rated",62,"Animation",5.1,"The alarm has sounded and the Pontypandy crew is off to rescue their friends and others in need. From engine sparks and wild fireworks to water rescue and more, you won't want to miss these adventures with your favorite hero, Fireman Sam!","Gary Andrews","Clint Butler",95
"5619",11972,"Beauty Mark",2017,"Not Rated",87,"Drama",6.4,"An empowering story inspired by true events, a poverty-stricken young mother is forced to move when her house is condemned. With no money and no options, she must confront her abusive past in order to save her family.","Harris Doran","Madison Iseman",357
