"","Index","Movie_names","Year","Advisory_rating","runtime","genre","Ratings","Description","Director","Cast","User_votes"
"1",1,"Enola Holmes",2020,"PG-13",123,"Adventure",6.6,"When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.","Harry Bradbeer","Millie Bobby Brown",75468
"2",2,"The Devil All the Time",2020,"R",138,"Crime",7.1,"Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.","Antonio Campos","Donald Ray Pollock",56302
"3",3,"Tenet",2020,"PG-13",150,"Action",7.8,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.","Christopher Nolan","John David Washington",130255
"4",4,"The Boys in the Band",2020,"R",121,"Drama",6.8,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.","Joe Mantello","Jim Parsons",5665
"5",5,"The Trial of the Chicago 7",2020,"R",129,"Drama",7.6,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.","Aaron Sorkin","Eddie Redmayne",979
"6",6,"After We Collided",2020,"R",105,"Drama",5.3,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults.","Roger Kumble","Josephine Langford",5104
"7",7,"Secret Society of Second Born Royals",2020,"TV-PG",99,"Action",4.6,"It follows Sam's adventures at a top-secret training program for a new class of second-born royals tasked with saving the world.","Anna Mastro","Peyton Elizabeth Lee",1782
"8",8,"Mulan",2020,"PG-13",115,"Action",5.4,"A young Chinese maiden disguises herself as a male warrior in order to save her father.","Niki Caro","Yifei Liu",61080
"9",9,"I'm Thinking of Ending Things",2020,"R",134,"Drama",6.7,"Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.","Charlie Kaufman","Jesse Plemons",41548
"10",10,"The Gentlemen",2019,"R",113,"Action",7.9,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","Guy Ritchie","Matthew McConaughey",191828
"11",11,"Antebellum",2020,"R",105,"Drama",5.5,"Successful author Veronica Henley finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.","Gerard Bush","Christopher Renz",8402
"12",12,"365 Days",2020,"TV-MA",114,"Drama",3.3,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","Barbara Bialowas","Tomasz Mandes",39585
"13",14,"Knives Out",2019,"PG-13",130,"Comedy",7.9,"A detective investigates the death of a patriarch of an eccentric, combative family.","Rian Johnson","Daniel Craig",399226
"14",15,"The Babysitter: Killer Queen",2020,"TV-MA",101,"Comedy",5.8,"Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell.","McG","Judah Lewis",19083
"15",17,"Bill & Ted Face the Music",2020,"PG-13",91,"Adventure",6.2,"Once told they'd save the universe during a time-traveling adventure, 2 would-be rockers from San Dimas, California find themselves as middle-aged dads still trying to crank out a hit song and fulfill their destiny.","Dean Parisot","Keanu Reeves",20316
"16",18,"Harley Quinn: Birds of Prey",2020,"R",109,"Action",6.1,"After splitting with the Joker, Harley Quinn joins superheroes Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.","Cathy Yan","Margot Robbie",146904
"17",19,"The Glorias",2020,"R",139,"Biography",4.6,"The story of feminist icon Gloria Steinem's itinerant childhood's influence on her life as a writer, activist and organizer for women's rights worldwide.","Julie Taymor","Julianne Moore",1016
"18",20,"Joker",2019,"R",122,"Crime",8.5,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.","Todd Phillips","Joaquin Phoenix",878389
"19",22,"Sound of Metal",2019,"R",130,"Drama",7,"A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.","Darius Marder","Riz Ahmed",409
"20",23,"Avengers: Endgame",2019,"PG-13",181,"Action",8.4,"After the devastating events of  (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Anthony Russo","Joe Russo",769741
"21",24,"Once Upon a Time... In Hollywood",2019,"R",161,"Comedy",7.6,"A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.","Quentin Tarantino","Leonardo DiCaprio",518897
"22",25,"The New Mutants",2020,"PG-13",94,"Action",5.5,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.","Josh Boone","Maisie Williams",12408
"23",26,"Parasite",2019,"R",132,"Comedy",8.6,"Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.","Bong Joon Ho","Kang-ho Song",490021
"24",27,"The Outpost",2020,"R",123,"Action",6.7,"A small team of U.S. soldiers battle against hundreds of Taliban fighters in Afghanistan.","Rod Lurie","Scott Eastwood",12894
"25",28,"Cuties",2020,"TV-MA",96,"Drama",2.9,"Amy, an 11-year-old girl, joins a group of dancers named ""the cuties"" at school, and rapidly grows aware of her burgeoning femininity - upsetting her mother and her values in the process.","Maïmouna Doucouré","Fathia Youssouf",23943
"26",29,"Greenland",2020,"PG-13",119,"Action",6.5,"A family struggles for survival in the face of a cataclysmic natural disaster.","Ric Roman Waugh","Gerard Butler",4146
"27",30,"Minari",2020,"PG-13",115,"Drama",7.7,"A Korean family moves to Arkansas to start a farm in the 1980s.","Lee Isaac Chung","Steven Yeun",265
"28",32,"Hamilton",2020,"PG-13",160,"Biography",8.7,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","Thomas Kail","Lin-Manuel Miranda",43197
"29",33,"Gemini Man",2019,"PG-13",117,"Action",5.7,"An over-the-hill hitman faces off against a younger clone of himself.","Ang Lee","Will Smith",79400
"30",34,"Ford v Ferrari",2019,"PG-13",152,"Action",8.1,"American car designer  and driver  battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.","James Mangold","Matt Damon",264096
"31",35,"Jojo Rabbit",2019,"PG-13",108,"Comedy",7.9,"A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.","Taika Waititi","Roman Griffin Davis",265476
"32",36,"Black Panther",2018,"PG-13",134,"Action",7.3,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.","Ryan Coogler","Chadwick Boseman",610094
"33",37,"The Silencing",2020,"R",93,"Action",6.1,"A reformed hunter living in isolation on a wildlife sanctuary becomes involved in a deadly game of cat and mouse when he and the local Sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.","Robin Pront","Nikolaj Coster-Waldau",7052
"34",38,"Just Mercy",2019,"PG-13",137,"Biography",7.6,"World-renowned civil rights defense attorney  works to free a wrongly condemned death row prisoner.","Destin Daniel Cretton","Michael B. Jordan",40349
"35",39,"The Old Guard",2020,"R",125,"Action",6.6,"A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.","Gina Prince-Bythewood","Charlize Theron",108551
"36",41,"After",2019,"PG-13",105,"Drama",5.3,"A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by .","Jenny Gage","Josephine Langford",32899
"37",43,"Doctor Sleep",2019,"R",152,"Drama",7.4,"Years following the events of  (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.","Mike Flanagan","Ewan McGregor",128128
"38",44,"21 Bridges",2019,"R",99,"Action",6.6,"An embattled NYPD detective is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy.","Brian Kirk","Chadwick Boseman",42312
"39",45,"The Addams Family",2019,"PG",86,"Animation",5.8,"The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.","Greg Tiernan","Conrad Vernon",25016
"40",46,"Midsommar: The Directors Cut",2019,"R",148,"Drama",7.1,"A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.","Ari Aster","Florence Pugh",182268
"41",47,"Unhinged",2020,"R",90,"Action",6.2,"After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.","Derrick Borte","Russell Crowe",7405
"42",48,"Blade Runner 2049",2017,"R",164,"Action",8,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","Denis Villeneuve","Harrison Ford",446207
"43",49,"Terminator: Dark Fate",2019,"R",128,"Action",6.2,"An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.","Tim Miller","Linda Hamilton",137704
"44",50,"1917",2019,"R",119,"Drama",8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","Sam Mendes","Dean-Charles Chapman",375395
"45",52,"On the Basis of Sex",2018,"PG-13",120,"Biography",7.1,"The true story of , her struggles for equal rights, and the early cases of a historic career that lead to her nomination and confirmation as U.S. Supreme Court Associate Justice.","Mimi Leder","Felicity Jones",24394
"46",53,"Kajillionaire",2020,"R",104,"Crime",6.7,"A woman's life is turned upside down when her criminal parents invite an outsider to join them on a major heist they're planning.","Miranda July","Evan Rachel Wood",821
"47",55,"Thor: Ragnarok",2017,"PG-13",130,"Action",7.9,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","Taika Waititi","Chris Hemsworth",569779
"48",56,"Motherless Brooklyn",2019,"R",144,"Crime",6.8,"In 1950s New York, a lonely private detective afflicted with Tourette's Syndrome ventures to solve the murder of his mentor and only friend.","Edward Norton","Edward Norton",36633
"49",58,"Bombshell",2019,"R",109,"Biography",6.8,"A group of women take on Fox News head  and the toxic atmosphere he presided over at the network.","Jay Roach","Charlize Theron",74316
"50",59,"Lost Girls and Love Hotels",2020,"R",97,"Drama",4.4,"Haunted by her past, an English teacher explores love and dust with a dashing yakuza gangster in Tokyo.","William Olsson","Alexandra Daddario",1580
"51",60,"Project Power",2020,"R",113,"Action",6,"When a pill that gives its users unpredictable superpowers for five minutes hits the streets of New Orleans, a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation.","Henry Joost","Ariel Schulman",57464
"52",61,"The Take",2016,"R",92,"Action",6.3,"A young pickpocket and an unruly CIA agent team up on an anti-terrorist mission in France.","James Watkins","Idris Elba",36666
"53",62,"The Peanut Butter Falcon",2019,"PG-13",97,"Comedy",7.6,"Zak runs away from his care home to make his dream of becoming a wrestler come true.","Tyler Nilson","Michael Schwartz",56678
"54",63,"The War with Grandpa",2020,"PG",94,"Comedy",5.5,"Upset that he has to share the room he loves with his grandfather, Peter decides to declare war in an attempt to get it back.","Tim Hill","Robert De Niro",4891
"55",64,"#Alive",2020,"TV-MA",98,"Action",6.2,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.","Il Cho","Ah-In Yoo",17276
"56",65,"Jumanji: The Next Level",2019,"PG-13",123,"Action",6.7,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.","Jake Kasdan","Dwayne Johnson",174341
"57",67,"Little Women",2019,"PG",135,"Drama",7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.","Greta Gerwig","Saoirse Ronan",126867
"58",70,"Trolls World Tour",2020,"PG",90,"Animation",6.1,"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.","Walt Dohrn","David P. Smith",13391
"59",71,"Star Wars: Episode IX - The Rise of Skywalker",2019,"PG-13",141,"Action",6.6,"The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end.","J.J. Abrams","Daisy Ridley",352834
"60",72,"The Paramedic",2020,"TV-MA",94,"Crime",5.6,"Angel works in an ambulance service. After a tragic accident, his personal life begins to deteriorate as he becomes more and more suspicious of his partner Vane.","Carles Torras","Mario Casas",5768
"61",73,"Deadpool",2016,"R",108,"Action",8,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","Tim Miller","Ryan Reynolds",886461
"62",74,"Jurassic World: Fallen Kingdom",2018,"PG-13",128,"Action",6.2,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.","J.A. Bayona","Chris Pratt",258963
"63",75,"Murder on the Orient Express",2017,"PG-13",114,"Crime",6.5,"When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.","Kenneth Branagh","Kenneth Branagh",206236
"64",76,"Spider-Man: Into the Spider-Verse",2018,"PG",117,"Animation",8.4,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Bob Persichetti","Peter Ramsey",342767
"65",77,"Fantastic Beasts: The Crimes of Grindelwald",2018,"PG-13",134,"Adventure",6.6,"The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.","David Yates","Eddie Redmayne",212767
"66",78,"No Escape",2020,"R",88,"Adventure",5.4,"A social media personality travels with his friends to Moscow to capture new content for his successful VLOG. Always pushing the limits and catering to a growing audience, they enter a cold world of mystery, excess, and danger.","Will Wernick","Holland Roden",2601
"67",79,"Mad Max: Fury Road",2015,"R",120,"Action",8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","George Miller","Tom Hardy",862035
"68",81,"Avengers: Infinity War",2018,"PG-13",149,"Action",8.4,"The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.","Anthony Russo","Joe Russo",805071
"69",83,"Peppermint",2018,"R",101,"Action",6.5,"Five years after her husband and daughter are killed in a senseless act of violence, a woman comes back from self-imposed exile to seek revenge against those responsible and the system that let them go free.","Pierre Morel","Jennifer Garner",50192
"70",84,"Hereditary",2018,"R",127,"Drama",7.3,"A grieving family is haunted by tragic and disturbing occurrences.","Ari Aster","Toni Collette",225494
"71",86,"The Lion King",2019,"PG",118,"Animation",6.9,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.","Jon Favreau","Donald Glover",202653
"72",87,"Bad Boys for Life",2020,"R",124,"Action",6.6,"Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.","Adil El Arbi","Bilall Fallah",116220
"73",88,"Deadpool 2",2018,"R",119,"Action",7.7,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.","David Leitch","Ryan Reynolds",464706
"74",89,"Love, Guaranteed",2020,"TV-PG",90,"Comedy",5.5,"To save her small law firm, earnest lawyer Susan takes a high-paying case from Nick, a charming new client who wants to sue a dating website that guarantees love. But as the case heats up, so do Susan and Nick's feelings for each other.","Mark Steven Johnson","Rachael Leigh Cook",9523
"75",91,"The Secret: Dare to Dream",2020,"PG",107,"Drama",6.4,"A widow struggling to get by meets a stranger who subscribes to a philosophy of positive thinking.","Andy Tennant","Katie Holmes",2284
"76",92,"It Chapter Two",2019,"R",169,"Drama",6.5,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.","Andy Muschietti","Jessica Chastain",195984
"77",93,"On the Rocks",2020,"R",96,"Adventure",6.8,"A young mother reconnects with her larger-than-life playboy father on an adventure through New York.","Sofia Coppola","Bill Murray",867
"78",94,"Charlie's Angels",2019,"PG-13",118,"Action",4.8,"When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.","Elizabeth Banks","Kristen Stewart",51976
"79",95,"Uncut Gems",2019,"R",135,"Crime",7.4,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.","Benny Safdie","Josh Safdie",204189
"80",96,"A Simple Favor",2018,"R",117,"Comedy",6.8,"Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.","Paul Feig","Anna Kendrick",122133
"81",97,"Greyhound",2020,"PG-13",91,"Action",7,"Several months after the U.S. entry into World War II, an inexperienced U.S. Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack.","Aaron Schneider","Tom Hanks",54331
"82",98,"BlacKkKlansman",2018,"R",135,"Biography",7.5,", an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.","Spike Lee","John David Washington",211475
"83",99,"The Meg",2018,"PG-13",113,"Action",5.6,"A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.","Jon Turteltaub","Jason Statham",145237
"84",100,"Infidel",2019,"R",108,"Action",6.6,"An American man, played by , is kidnapped after a friend invites him to Cairo to speak out about recent militant uprisings. His wife heads to the city after hearing the news, determined to get him back.","Cyrus Nowrasteh","Jim Caviezel",800
"85",102,"Bloodshot",2020,"PG-13",109,"Action",5.7,"Ray Garrison, a slain soldier, is re-animated with superpowers.","Dave Wilson","Vin Diesel",53155
"86",105,"The Man from U.N.C.L.E.",2015,"PG-13",116,"Action",7.3,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.","Guy Ritchie","Henry Cavill",265616
"87",106,"The Equalizer 2",2018,"R",121,"Action",6.7,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?","Antoine Fuqua","Denzel Washington",127855
"88",107,"The Irishman",2019,"R",209,"Biography",7.9,"An old man recalls his time painting houses for his friend, , through the 1950-70s.","Martin Scorsese","Robert De Niro",308927
"89",109,"Suicide Squad",2016,"PG-13",123,"Action",6,"A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.","David Ayer","Will Smith",590033
"90",111,"Eurovision Song Contest: The Story of Fire Saga",2020,"PG-13",123,"Comedy",6.5,"When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.","David Dobkin","Will Ferrell",65941
"91",112,"Another Round",2020,"Not Rated",115,"Drama",8.2,"Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood.","Thomas Vinterberg","Mads Mikkelsen",1643
"92",113,"The King of Staten Island",2020,"R",136,"Comedy",7.1,"Scott has been a case of arrested development since his firefighter dad died. He spends his days smoking weed and dreaming of being a tattoo artist until events force him to grapple with his grief and take his first steps forward in life.","Judd Apatow","Pete Davidson",25054
"93",115,"Midway",2019,"PG-13",138,"Action",6.7,"The story of the Battle of Midway, told by the leaders and the sailors who fought it.","Roland Emmerich","Ed Skrein",60245
"94",116,"Slaughterhouse Rulez",2018,"R",104,"Action",5.3,"An illustrious British boarding school becomes a bloody battleground when a mysterious sinkhole appears at a nearby fracking site unleashing unspeakable horror.","Crispian Mills","Margot Robbie",10242
"95",118,"Train to Busan Presents: Peninsula",2020,"Not Rated",116,"Action",5.5,"A zombie virus has the last 4 years spread to all South Korea. 4 Koreans in HK sail thru the blockade to Incheon for USD20,000,000 on a truck.","Sang-ho Yeon","Dong-Won Gang",12646
"96",119,"The Tax Collector",2020,"Not Rated",95,"Action",4.7,"A ""tax collector"" working for a local crime lord finds his family's safety compromised when the rival of his boss shows up in L.A. and upends the business.","David Ayer","Bobby Soto",6125
"97",120,"The Greatest Showman",2017,"PG",105,"Biography",7.6,"Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.","Michael Gracey","Hugh Jackman",228792
"98",121,"Fantasy Island",2020,"PG-13",109,"Action",4.9,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.","Jeff Wadlow","Michael Peña",29206
"99",122,"Spider-Man: Far from Home",2019,"PG-13",129,"Action",7.5,"Following the events of  (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","Jon Watts","Tom Holland",309093
"100",123,"Good Time",2017,"R",102,"Crime",7.4,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.","Benny Safdie","Josh Safdie",83291
"101",124,"Palm Springs",2020,"R",90,"Comedy",7.4,"When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated as they are unable to escape the venue, themselves, or each other.","Max Barbakow","Andy Samberg",51258
"102",125,"Extraction",2020,"R",116,"Action",6.7,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.","Sam Hargrave","Chris Hemsworth",145717
"103",126,"A Call to Spy",2019,"PG-13",123,"Biography",5.7,"In the beginning of WWII, with Britain becoming desperate, Churchill orders his new spy agency - SOE - to recruit and train women as spies.","Lydia Dean Pilcher","Sarah Megan Thomas",399
"104",127,"Nomadland",2020,"R",108,"Drama",8.1,"Follows a woman in her sixties who, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.","Chloé Zhao","Frances McDormand",641
"105",128,"Call Me by Your Name",2017,"R",132,"Drama",7.9,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.","Luca Guadagnino","Armie Hammer",202213
"106",129,"The Secret Garden",2020,"PG",99,"Drama",5.6,"An orphaned girl discovers a magical garden hidden at her strict uncle's estate.","Marc Munden","Dixie Egerickx",2886
"107",130,"Mission: Impossible - Fallout",2018,"PG-13",147,"Action",7.7,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.","Christopher McQuarrie","Tom Cruise",283521
"108",131,"Fifty Shades of Grey",2015,"R",125,"Drama",4.1,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.","Sam Taylor-Johnson","Dakota Johnson",294267
"109",132,"Ready Player One",2018,"PG-13",140,"Action",7.5,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.","Steven Spielberg","Tye Sheridan",356614
"110",135,"Alita: Battle Angel",2019,"PG-13",122,"Action",7.3,"A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.","Robert Rodriguez","Rosa Salazar",220049
"111",136,"Jurassic World",2015,"PG-13",124,"Action",7,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.","Colin Trevorrow","Chris Pratt",571671
"112",137,"The Lodge",2019,"R",108,"Drama",6,"A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place.","Severin Fiala","Veronika Franz",26877
"113",138,"Justice League",2017,"PG-13",120,"Action",6.3,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.","Zack Snyder","Ben Affleck",374118
"114",139,"Captain Marvel",2019,"PG-13",123,"Action",6.9,"Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.","Anna Boden","Ryan Fleck",426576
"115",140,"Avengers: Age of Ultron",2015,"PG-13",141,"Action",7.3,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","Joss Whedon","Robert Downey Jr.",726677
"116",141,"The 2nd",2020,"Not Rated",93,"Action",5.5,"A Green Beret is late picking up his son at college. His son and a Supreme Court Justice's daughter are the last there. A gang of terrorists are there to abduct her and force her dad's hand on a Second Amendment vote.","Brian Skiba","Ryan Phillippe",1641
"117",143,"The Witch",2015,"R",92,"Drama",6.9,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession.","Robert Eggers","Anya Taylor-Joy",191320
"118",144,"The Martian",2015,"PG-13",144,"Adventure",8,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.","Ridley Scott","Matt Damon",744980
"119",145,"Frozen II",2019,"PG",103,"Animation",6.9,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.","Chris Buck","Jennifer Lee",126370
"120",146,"Hustlers",2019,"R",110,"Comedy",6.3,"Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients.","Lorene Scafaria","Constance Wu",78720
"121",147,"Aladdin",2019,"PG",128,"Adventure",7,"A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.","Guy Ritchie","Will Smith",218503
"122",148,"Hidden Figures",2016,"PG",127,"Biography",7.8,"The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.","Theodore Melfi","Taraji P. Henson",194982
"123",149,"Dunkirk",2017,"PG-13",106,"Action",7.9,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.","Christopher Nolan","Fionn Whitehead",537538
"124",150,"Green Book",2018,"PG-13",130,"Biography",8.2,"A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.","Peter Farrelly","Viggo Mortensen",348398
"125",153,"Venom",2018,"PG-13",112,"Action",6.7,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","Ruben Fleischer","Tom Hardy",349379
"126",155,"Me Before You",2016,"PG-13",106,"Drama",7.4,"A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.","Thea Sharrock","Emilia Clarke",202158
"127",156,"Portrait of a Lady on Fire",2019,"R",122,"Drama",8.1,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.","Céline Sciamma","Noémie Merlant",53119
"128",157,"Aquaman",2018,"PG-13",143,"Action",6.9,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.","James Wan","Jason Momoa",352830
"129",158,"Bohemian Rhapsody",2018,"PG-13",134,"Biography",8,"The story of the legendary British rock band  and lead singer , leading up to their famous performance at  (1985).","Bryan Singer","Rami Malek",437151
"130",159,"Richard Jewell",2019,"R",131,"Biography",7.5,"After foiling a bomb attack at the 1996 Atlanta Olympics security gaurd Richard Jewell is an instant hero. However when the FBI leaks to the media that he is a suspect in the bombing his life becomes a nightmare.","Clint Eastwood","Paul Walter Hauser",51520
"131",160,"The Platform",2019,"TV-MA",94,"Horror",7,"A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.","Galder Gaztelu-Urrutia","Ivan Massagué",149891
