"","Movie_name","Years","Genre","Ratings","Director","Users_involved","Runtime"
"1","Enola Holmes",2020,"Adventure",6.7,"Harry Bradbeer",72069,"
                        2h 3min
                    "
"2","The Devil All the Time",2020,"Crime",7.1,"Antonio Campos",54631,"
                        2h 18min
                    "
"3","Tenet",2020,"Action",7.8,"Christopher Nolan",128844,"
                        2h 30min
                    "
"4","The Boys in the Band",2020,"Drama",6.8,"Joe Mantello",5154,"
                        2h 1min
                    "
"5","The Trial of the Chicago 7",2020,"Drama",7.5,"Aaron Sorkin",888,"
                        2h 9min
                    "
"6","After We Collided",2020,"Drama",5.3,"Roger Kumble",5029,"
                        1h 45min
                    "
"7","Secret Society of Second-Born Royals",2020,"Adventure",4.6,"Anna Mastro",1671,"
                        1h 39min
                    "
"8","Mulan",2020,"Action",5.4,"Niki Caro",60408,"
                        1h 55min
                    "
"9","I'm Thinking of Ending Things",2020,"Drama",6.7,"Charlie Kaufman",40971,"
                        2h 14min
                    "
"10","The Gentlemen",2019,"Action",7.9,"Guy Ritchie",190932,"
                        1h 53min
                    "
"11","Antebellum",2020,"Drama",5.5,"Gerard Bush",8140,"
                        1h 45min
                    "
"12","365 dni",2020,"Romance",3.3,"Barbara Bialowas",39409,"
                        1h 54min
                    "
"13","Knives Out",2019,"Comedy",7.9,"Rian Johnson",398205,"
                        2h 10min
                    "
"14","The Babysitter: Killer Queen",2020,"Horror",5.8,"McG",18705,"
                        1h 41min
                    "
"15","Bill & Ted Face the Music",2020,"Adventure",6.2,"Dean Parisot",20073,"
                        1h 31min
                    "
"16","Birds of Prey",2020,"Action",6.1,"Cathy Yan",146381,"
                        1h 49min
                    "
"17","The Glorias",2020,"Biography",4.5,"Julie Taymor",949,"
                        2h 19min
                    "
"18","Joker",2019,"Crime",8.5,"Todd Phillips",877463,"
                        2h 2min
                    "
"19","Sound of Metal",2019,"Drama",7,"Darius Marder",400,"
                        2h 10min
                    "
"20","Avengers: Endgame",2019,"Action",8.4,"Anthony Russo",769182,"
                        3h 1min
                    "
"21","Once Upon a Time In Hollywood",2019,"Comedy",7.6,"Quentin Tarantino",518349,"
                        2h 41min
                    "
"22","The New Mutants",2020,"Action",5.5,"Josh Boone",12298,"
                        1h 34min
                    "
